Key,Id,Kyrgyz(ky),English(en),Russian(ru),Arabic(ar),Bulgarian(bg),Catalan(ca),Croatian(hr),Czech(cs),Danish(da),Dutch(nl),Estonian(et),Finnish(fi),French(fr),German(de),Greek(el),Hebrew(he),Hindi(hi),Hungarian(hu),Indonesian(id),Italian(it),Japanese(ja),Korean(ko),Latvian(lv),Lithuanian(lt),Malay(ms),Norwegian(no),Polish(pl),Portuguese(pt),Romanian(ro),Serbian(sr),Chinese (Simplified)(zh-Hans),Slovak(sk),Slovenian(sl),Spanish(es),Swedish(sv),Filipino (Philippines)(fil-PH),Thai(th),Turkish(tr),Ukrainian(uk),Vietnamese(vi)
purchase_warning_message1,121,Жазылууңуз жакында бүтөт.,Your subscription will end soon.,Ваша подписка скоро завершится,سيتم انتهاء اشتراكك قريبًا.,Абонаментът ви скоро ще приключи.,La teva subscripció finalitzarà aviat.,Vaša pretplata uskoro završava.,Vaše předplatné brzy skončí.,Dit abonnement slutter snart.,Uw abonnement verloopt binnenkort.,Teie tellimus lõpeb peagi.,Tilauksesi päättyy pian.,Votre abonnement va bientôt se terminer.,Ihr Abonnement endet bald.,Η συνδρομή σας θα λήξει σύντομα.,המנוי שלך יסתיים בקרוב.,आपकी सदस्यता जल्द ही समाप्त हो जाएगी.,Az előfizetésed hamarosan lejár.,Langganan Anda akan segera berakhir.,Il tuo abbonamento scadrà presto.,サブスクリプションはまもなく終了します。,구독이 곧 종료됩니다.,Jūsu abonements drīz beigsies.,Jūsų prenumerata netrukus baigsis.,Langganan anda akan tamat tidak lama lagi.,Abonnementet ditt avsluttes snart.,Twoja subskrypcja wkrótce się zakończy.,Sua assinatura terminará em breve.,Abonamentul tău se va încheia în curând.,Ваша претплата ће ускоро истећи.,您的订阅即将结束。,Vaše predplatné čoskoro skončí.,Vaša naročnina se bo kmalu končala.,Su suscripción finalizará pronto.,Din prenumeration upphör snart.,Malapit nang matapos ang iyong subscription.,การสมัครของคุณจะสิ้นสุดในเร็วๆ นี้,Aboneliğiniz yakında sona erecek.,Ваша передплата незабаром завершиться,Đăng ký của bạn sẽ sớm kết thúc.
purchase_warning_message2,122,"{data.expData} жазылууңуздун мөөнөтү бүтөт. Балаңыз ойноп, өнүгүп кетиши үчүн, жеке аккаунтуңуздан жаңыртыңыз.","{data.expData} your subscription will end. To ensure your child can continue playing and developing, please renew in your personal account.","{data.expData} ваша подписка закончится. Чтобы ваш ребенок мог продолжать играть и развиваться, оформите продление в личном кабинете.",{data.expData} سينتهي اشتراكك. لضمان استمرار طفلك في اللعب والتطور، يُرجى تجديد الاشتراك في حسابك الشخصي.,"{data.expData} абонаментът ви ще приключи. За да сте сигурни, че детето ви може да продължи да играе и да се развива, моля, поднете го в личния си акаунт.","{data.expData} абонаментът ви ще приключи. За да сте сигурни, че детето ви може да продължи да играе и да се развива, моля, подновете го в личния си акаунт.","{data.expData} ваш абонамент ће се завршити. Да бисте били сигурни да ваше дете може наставити играти и развијати се, молимо, обновите га на вашем личном налогу.","{data.expData} Vaše předplatné skončí. Aby si vaše dítě mohlo i nadále hrát a rozvíjet se, obnovte ho prosím ve svém osobním účtu.","{data.expData} dit abonnement er ved at udløbe. For at sikre, at dit barn kan fortsætte med at lege og lære, bedes du forny dit abonnement på dit personlige konto.","{data.expData} je abonnement loopt bijna af. Om ervoor te zorgen dat je kind kan blijven spelen en leren, kun je je abonnement verlengen via je persoonlijke account.",{data.expData} teie tellimus on lõppemas. Lapse mängimise ja õppimise jätkamiseks uuendage oma tellimust oma isiklikul kontol.,"{data.expData} tilauksesi on päättymässä. Jotta lapsesi voi jatkaa pelaamista ja oppimista, uusi tilauksesi henkilökohtaisella tililläsi.","{data.expData} votre abonnement arrive à échéance. Pour que votre enfant puisse continuer à jouer et à apprendre, veuillez renouveler votre abonnement dans votre compte personnel.","{data.expData} Ihr Abonnement läuft ab. Damit Ihr Kind weiterhin spielen und lernen kann, verlängern Sie Ihr Abonnement bitte in Ihrem persönlichen Konto.","{data.expData} η συνδρομή σας πρόκειται να λήξει. Για να διασφαλίσετε ότι το παιδί σας μπορεί να συνεχίσει να παίζει και να μαθαίνει, ανανεώστε τη συνδρομή σας στον προσωπικό σας λογαριασμό.","{data.expData} המנוי שלך עומד להסתיים. כדי להבטיח שילדך יוכל להמשיך לשחק וללמוד, אנא חדש את המנוי שלך בחשבון האישי שלך.","{data.expData} आपकी सदस्यता समाप्त होने वाली है। यह सुनिश्चित करने के लिए कि आपका बच्चा खेलना और सीखना जारी रख सके, कृपया अपनी सदस्यता अपने व्यक्तिगत खाते में नवीनीकृत करें।","{data.expData} előfizetése lejár. Annak érdekében, hogy gyermeke továbbra is játszhasson és tanulhasson, kérjük, újítsa meg előfizetését a személyes fiókjában.","{data.expData} langganan Anda akan berakhir. Untuk memastikan anak Anda dapat terus bermain dan belajar, harap perbarui langganan Anda di akun pribadi Anda.","{data.expData} il tuo abbonamento sta per scadere. Per garantire che tuo figlio possa continuare a giocare e imparare, rinnova l'abbonamento sul tuo account personale.",{data.expData} サブスクリプションは終了します。お子様が引き続きゲームや学習をお楽しみいただけるよう、個人アカウントでサブスクリプションを更新してください。,{data.expData} 구독이 종료됩니다. 자녀가 계속해서 놀고 학습할 수 있도록 개인 계정에서 구독을 갱신해 주세요.,"{data.expData} jūsu abonements beigsies. Lai nodrošinātu, ka jūsu bērns var turpināt spēlēties un mācīties, lūdzu, atjaunojiet abonementu savā personiskajā kontā.","{data.expData} jūsų prenumerata baigsis. Kad jūsų vaikas galėtų toliau žaisti ir mokytis, atnaujinkite prenumeratą savo asmeninėje paskyroje.","{data.expData} langganan anda akan tamat. Untuk memastikan anak anda boleh terus bermain dan belajar, sila perbaharui langganan anda dalam akaun peribadi anda.","{data.expData} abonnementet ditt utløper. For å sikre at barnet ditt kan fortsette å leke og lære, må du fornye abonnementet på din personlige konto.","{data.expData} twoja subskrypcja się zakończy. Aby mieć pewność, że Twoje dziecko będzie mogło kontynuować zabawę i naukę, odnów subskrypcję na swoim koncie osobistym.","{data.expData} sua assinatura terminará. Para garantir que seu filho possa continuar brincando e aprendendo, renove sua assinatura em sua conta pessoal.","{data.expData} abonamentul dumneavoastră se va încheia. Pentru a vă asigura că copilul dumneavoastră poate continua să se joace și să învețe, vă rugăm să vă reînnoiți abonamentul în contul dumneavoastră personal.","{data.expData} ваша претплата истиче. Да бисте осигурали да ваше дете може да настави да се игра и учи, обновите претплату на вашем личном налогу.",{data.expData} 您的订阅即将到期。为了确保您的孩子能够继续玩耍和学习，请在您的个人账户中续订。,"{data.expData} vaše predplatné sa skončí. Aby ste zabezpečili, že sa vaše dieťa bude môcť naďalej hrať a učiť, obnovte si predplatné vo svojom osobnom účte.","{data.expData} vaša naročnina bo potekla. Da bi vaš otrok lahko še naprej igral in se učil, podaljšajte naročnino v svojem osebnem računu.","{data.expData} tu suscripción finalizará. Para que tu hijo pueda seguir jugando y aprendiendo, renueva tu suscripción en tu cuenta personal.","{data.expData} din prenumeration upphör. För att säkerställa att ditt barn kan fortsätta leka och lära, vänligen förnya din prenumeration på ditt personliga konto.","{data.expData} ang iyong subscription ay magtatapos. Upang matiyak na ang iyong anak ay maaaring magpatuloy sa paglalaro at pag-aaral, mangyaring i-renew ang iyong subscription sa iyong personal na account.",{data.expData} การสมัครของคุณจะสิ้นสุดลง เพื่อให้แน่ใจว่าบุตรหลานของคุณสามารถเล่นและเรียนรู้ต่อไปได้ โปรดต่ออายุการสมัครของคุณในบัญชีส่วนตัวของคุณ,{data.expData} aboneliğiniz sona erecek. Çocuğunuzun oynamaya ve öğrenmeye devam edebilmesini sağlamak için lütfen aboneliğinizi kişisel hesabınızda yenileyin.,"{data.expData} термін дії вашої підписки закінчиться. Щоб ваша дитина могла продовжувати гратися та навчатися, будь ласка, поновіть свою підписку у вашому особистому кабінеті.","{data.expData} đăng ký của bạn sẽ kết thúc. Để đảm bảo con bạn có thể tiếp tục chơi và học, vui lòng gia hạn đăng ký trong tài khoản cá nhân của bạn."
purchase_warning_message3,123,Жазылууңуз аяктады.,Your subscription has ended,Ваша подписка завершилась,لقد انتهى اشتراكك,Вашият абонамент приключи,La teva subscripció ha finalitzat,Vaša pretplata je istekla,Vaše předplatné skončilo,Dit abonnement er afsluttet,Uw abonnement is beëindigd,Teie tellimus on lõppenud,Tilauksesi on päättynyt,Votre abonnement est terminé,Ihr Abonnement ist beendet,Η συνδρομή σας έληξε,המנוי שלך הסתיים,आपकी सदस्यता समाप्त हो गई है,Előfizetése lejárt,Langganan Anda telah berakhir,Il tuo abbonamento è terminato,サブスクリプションは終了しました,구독이 종료되었습니다,Jūsu abonements ir beidzies,Jūsų prenumerata baigėsi,Langganan anda telah tamat,Abonnementet ditt er avsluttet,Twoja subskrypcja dobiegła końca,Sua assinatura terminou,Abonamentul dvs. s-a încheiat,Ваша претплата је истекла,您的订阅已结束,Vaše predplatné sa skončilo,Vaša naročnina je potekla,Tu suscripción ha finalizado,Din prenumeration har avslutats,Natapos na ang iyong subscription,การสมัครของคุณสิ้นสุดลงแล้ว,Aboneliğiniz sona erdi,Ваша передплата завершилася,Đăng ký của bạn đã kết thúc
purchase_warning_message4,124,Аяктоо күнү:,End date:,Дата окончания: ,تاريخ الانتهاء:,Крайна дата:,Data finalització:,Datum završetka:,Datum ukončení:,Slutdato:,Einddatum:,Lõppkuupäev:,Päättymispäivä:,Date de fin :,Enddatum:,Ημερομηνία λήξης:,תאריך סיום:,अंतिम तिथि:,Befejezés dátuma:,Tanggal akhir:,Data di fine:,終了日:,종료일:,Beigu datums:,Pabaigos data:,Tarikh tamat:,Sluttdato:,Data zakończenia:,Data de término:,Data de încheiere:,Датум завршетка:,结束日期：,Dátum ukončenia:,Končni datum:,Fecha de finalización:,Slutdatum:,Petsa ng pagtatapos:,วันที่สิ้นสุด:,Bitiş tarihi:,Дата закінчення:,Ngày kết thúc:
purchase_warning_message5,125,Жазылууңузду жаңыртуу балаңызга ойноону жана өнүктүрүүнү улантат. Жаңылоо үчүн жеке аккаунтуңузга өтүңүз.,Renewing your subscription will allow your child to continue playing and developing. Please go to your personal account to renew.,Продление подписки позволит вашему ребенку продолжить играть и развиваться. Для продления перейдите в личный кабинет.,تجديد اشتراكك سيسمح لطفلك بمواصلة اللعب والتطور. يُرجى زيارة حسابك الشخصي للتجديد.,"Подновяването на абонамента ви ще позволи на детето ви да продължи да играе и да се развива. Моля, отидете в личния си акаунт, за да го подновите.","Renovar la subscripció permetrà al teu fill/a continuar jugant i desenvolupant-se. Si us plau, vés al teu compte personal per renovar-la.",Obnovom pretplate omogućit ćete svom djetetu da nastavi igrati se i razvijati. Molimo vas da posjetite svoj osobni račun kako biste obnovili pretplatu.,Obnovením předplatného umožníte svému dítěti pokračovat ve hraní a rozvoji. Pro obnovení přejděte prosím do svého osobního účtu.,Fornyelse af dit abonnement giver dit barn mulighed for at fortsætte med at lege og udvikle sig. Gå venligst til din personlige konto for at forny.,"Door je abonnement te verlengen, kan je kind blijven spelen en zich blijven ontwikkelen. Ga naar je persoonlijke account om te verlengen.",Tellimuse uuendamine võimaldab teie lapsel jätkata mängimist ja arengut. Uuendamiseks minge oma isiklikule kontole.,Tilauksesi uusiminen antaa lapsellesi mahdollisuuden jatkaa pelaamista ja kehittymistä. Siirry henkilökohtaiselle tilillesi uusiaksesi tilauksen.,Renouveler votre abonnement permettra à votre enfant de continuer à jouer et à s'épanouir. Veuillez vous rendre sur votre compte personnel pour renouveler votre abonnement.,Durch die Verlängerung Ihres Abonnements kann Ihr Kind weiter spielen und sich weiterentwickeln. Gehen Sie zur Verlängerung bitte zu Ihrem persönlichen Konto.,Η ανανέωση της συνδρομής σας θα επιτρέψει στο παιδί σας να συνεχίσει να παίζει και να αναπτύσσεται. Μεταβείτε στον προσωπικό σας λογαριασμό για να την ανανεώσετε.,חידוש המנוי יאפשר לילדך להמשיך לשחק ולהתפתח. אנא עבור לחשבונך האישי כדי לחדש.,अपनी सदस्यता को नवीनीकृत करने से आपका बच्चा खेलना और विकास करना जारी रख सकेगा। नवीनीकरण के लिए कृपया अपने व्यक्तिगत खाते पर जाएँ।,"Az előfizetés megújításával gyermeke továbbra is játszhat és fejlődhet. Kérjük, a megújításhoz lépjen be személyes fiókjába.","Dengan memperbarui langganan, anak Anda akan dapat terus bermain dan berkembang. Silakan buka akun pribadi Anda untuk memperbaruinya.","Rinnovando l'abbonamento, tuo figlio potrà continuare a giocare e a crescere. Accedi al tuo account personale per rinnovare.",サブスクリプションを更新すると、お子様は引き続きゲームをプレイし、成長することができます。更新するには、個人アカウントにアクセスしてください。,구독을 갱신하시면 자녀가 계속해서 놀고 성장할 수 있습니다. 갱신하려면 개인 계정으로 이동하세요.,"Atjaunojot abonementu, jūsu bērns varēs turpināt spēlēties un attīstīties. Lūdzu, dodieties uz savu personīgo kontu, lai to atjaunotu.","Atnaujinus prenumeratą, jūsų vaikas galės toliau žaisti ir tobulėti. Norėdami atnaujinti prenumeratą, eikite į savo asmeninę paskyrą.",Memperbaharui langganan anda akan membolehkan anak anda terus bermain dan berkembang. Sila pergi ke akaun peribadi anda untuk memperbaharui.,"Hvis du fornyer abonnementet, kan barnet ditt fortsette å spille og utvikle seg. Gå til din personlige konto for å fornye.","Odnowienie subskrypcji pozwoli Twojemu dziecku kontynuować zabawę i rozwój. Przejdź do swojego konta osobistego, aby odnowić subskrypcję.",Renovar sua assinatura permitirá que seu filho continue jogando e se desenvolvendo. Acesse sua conta pessoal para renovar.,Reînnoirea abonamentului îi va permite copilului dumneavoastră să continue să se joace și să se dezvolte. Vă rugăm să accesați contul dumneavoastră personal pentru a-l reînnoi.,Обнављање претплате ће омогућити вашем детету да настави да се игра и развија. Молимо вас да идете на свој лични налог да бисте обновили претплату.,续订后，您的孩子可以继续游戏和发展。请前往您的个人账户进行续订。,Obnovenie predplatného umožní vášmu dieťaťu pokračovať v hraní a rozvoji. Pre obnovenie prejdite do svojho osobného účtu.,Z obnovitvijo naročnine se bo vaš otrok lahko še naprej igral in razvijal. Za obnovitev pojdite v svoj osebni račun.,"Renovar su suscripción permitirá que su hijo siga jugando y desarrollándose. Para renovar, acceda a su cuenta personal.",Genom att förnya din prenumeration kan ditt barn fortsätta spela och utvecklas. Gå till ditt personliga konto för att förnya.,Ang pag-renew ng iyong subscription ay magbibigay-daan sa iyong anak na magpatuloy sa paglalaro at pag-unlad. Mangyaring pumunta sa iyong personal na account para mag-renew.,การต่ออายุสมาชิกจะช่วยให้บุตรหลานของคุณเล่นและพัฒนาตนเองต่อไปได้ โปรดไปที่บัญชีส่วนตัวของคุณเพื่อต่ออายุ,Aboneliğinizi yenilemek çocuğunuzun oynamaya ve gelişmeye devam etmesini sağlayacaktır. Lütfen yenilemek için kişisel hesabınıza gidin.,"Поновлення підписки дозволить вашій дитині продовжувати грати та розвиватися. Будь ласка, перейдіть до свого особистого облікового запису, щоб поновити підписку.",Việc gia hạn đăng ký sẽ cho phép con bạn tiếp tục chơi và phát triển. Vui lòng vào tài khoản cá nhân của bạn để gia hạn.
purchase_warning_message6,126,Узартуу,Prolong,Продлевать,إطالة,Удължете,Perllongar,Produžiti,Prodloužit,Forlænge,Verlengen,Pikendada,Pidentää,Prolonger,Verlängern,Παρατείνω,לְהַאֲרִיך,लम्बा,Hosszabbítsa meg,Memperpanjang,Prolungare,延長する,길게 하다,Pagarināt,Prailginti,Panjangkan,Forlenge,Wydłużać,Prolongar,Prelungi,Пролонгирати,延长,Predĺžiť,Podaljšaj,Prolongar,Förlänga,Patagalin,ยืด,Uzatmak,Продовжити,kéo dài
yearly_purchase,127,Жылына,yearly,В год ,سنوي,на година,anualment,godišnje,roční,årligt,jaarlijks,igal aastal,vuosittain,annuel,jährlich,ετήσια,שְׁנָתִי,वार्षिक,évi,tahunan,annuale,毎年,매년,gadā,kasmet,setiap tahun,årlig,rocznie,anual,anual,годишње,每年,ročne,letno,anual,årlig,taun-taon,เป็นประจำทุกปี,yıllık,щорічно,hàng năm
monthly_purchase,128,Айына,monthly,В месяц,شهريا,месечно,mensual,mjesečno,měsíční,månedlig,maandelijks,igakuine,kuukausittain,mensuel,monatlich,μηνιαίος,יַרחוֹן,महीने के,havi,bulanan,mensile,毎月,월간 간행물,katru mēnesi,kas mėnesį,bulanan,månedlig,miesięczny,mensal,lunar,месечно,每月,mesačne,mesečno,mensual,månatlig,buwanan,ทุกเดือน,aylık,щомісяця,hàng tháng
save_title,,{data.yearlySave} үнөмдөө,SAVE {data.yearlySave},Сэкономьте {data.yearlySave},وفر {data.yearlySave},СПЕСТЕТЕ {data.yearlySave},ESTALVIA UN {data.yearlySave},UŠTEDITE {data.yearlySave},UŠETŘETE {data.yearlySave},UŠETŘETE {data.yearlySave},BESPAAR {data.yearlySave},SÄÄSTA {data.yearlySave},SÄÄSTÄ {data.yearlySave},ÉCONOMISEZ {data.yearlySave},SPAREN SIE {data.yearlySave},ΕΞΟΙΚΟΝΟΜΗΣΤΕ {data.yearlySave},חסכו {data.yearlySave},{data.yearlySave} की बचत करें,SPÓROLJON {data.yearlySave},HEMAT {data.yearlySave},RISPARMIA IL {data.yearlySave},{data.yearlySave}割引,{data.yearlySave} 할인,Ietaupiet {data.yearlySave},SUTAUPYKITE {data.yearlySave},JIMAT {data.yearlySave},SPAR {data.yearlySave},OSZCZĘDŹ {data.yearlySave},ECONOMIZE {data.yearlySave},ECONOMISIȚI {data.yearlySave},ECONOMISIȚI {data.yearlySave},节省 {data.yearlySave},UŠETRITE {data.yearlySave},PRIHRANITE {data.yearlySave},AHORRE {data.yearlySave},SPARA {data.yearlySave},MAKAtipid ng {data.yearlySave},ประหยัด {data.yearlySave},{data.yearlySave} İNDİRİM,ЗЕКОНОМТЕ {data.yearlySave},TIẾT KIỆM {data.yearlySave}
price,,{data.priceYearly} жылына,{data.priceYearly} / year,{data.priceYearly} в год,{data.priceYearly} / سنويًا,{data.priceYearly} / година,{data.priceYearly} / any,{data.priceYearly} / godišnje,{data.priceYearly}/rok,{data.priceYearly} / år,{data.priceYearly} / jaar,{data.priceYearly} aastas,{data.priceYearly} / vuosi,{data.priceYearly} par an,{data.priceYearly} / Jahr,{data.priceYearly} / έτος,{data.priceYearly} לשנה,{data.priceYearly} प्रति वर्ष,{data.priceYearly} / év,{data.priceYearly} / tahun,{data.priceYearly} / anno,年間 {data.priceYearly},{data.priceYearly}/년,{data.priceYearly} gadā,{data.priceYearly} per metus,{data.priceYearly} / tahun,{data.priceYearly} / år,{data.priceYearly}/rok,{data.priceYearly} por ano,{data.priceYearly} / an,{data.priceYearly} годишње,每年 {data.priceYearly},{data.priceYearly}/rok,{data.priceYearly}/leto,{data.priceYearly} / año,{data.priceYearly}/år,{data.priceYearly} / taon,{data.priceYearly} ต่อปี,{data.priceYearly} / yıl,{data.priceYearly} / рік,{data.priceYearly}/năm
price_for_month,,{data.priceMonthly} / айына,{data.priceMonthly} / month,{data.priceMonthly} в месяц,{data.priceMonthly} شهرياً,{data.priceMonthly} / месец,{data.priceMonthly} / mes,{data.priceMonthly} mjesečno,{data.priceMonthly} / měsíc,{data.priceMonthly} / måned,{data.priceMonthly} / maand,{data.priceMonthly} kuus,{data.priceMonthly} / kk,{data.priceMonthly} par mois,{data.priceMonthly} / Monat,{data.priceMonthly} / μήνα,{data.priceMonthly} לחודש,{data.priceMonthly} प्रति माह,{data.priceMonthly} / hó,{data.priceMonthly} / bulan,{data.priceMonthly} / mese,月額{data.priceMonthly},월 {data.priceMonthly},{data.priceMonthly} mēnesī,{data.priceMonthly} / mėn.,{data.priceMonthly} / bulan,{data.priceMonthly} per måned,{data.priceMonthly} / miesiąc,{data.priceMonthly} por mês,{data.priceMonthly} / lună,{data.priceMonthly} / месечно,每月 {data.priceMonthly},{data.priceMonthly} / mesiac,{data.priceMonthly} / mesec,{data.priceMonthly} / mes,{data.priceMonthly} / månad,{data.priceMonthly} / buwan,{data.priceMonthly} / เดือน,{data.priceMonthly} / ay,{data.priceMonthly} / місяць,{data.priceMonthly} / tháng
sevenday_free_trial,,Андан кийин 7 күн акысыз сыноо,"7 days free trial, then","7 дней бесплатного пробного периода, затем",تجربة مجانية لمدة 7 أيام، ثم,"7 дни безплатен пробен период, след това","7 dies de prova gratuïta, després","7 dana besplatnog probnog razdoblja, a zatim","7denní bezplatná zkušební verze, poté","7 dages gratis prøveperiode, derefter","7 dagen gratis proefperiode, daarna",Seejärel 7-päevane tasuta prooviperiood,"7 päivän ilmainen kokeilujakso, sitten","7 jours d'essai gratuit, puis","7 Tage kostenlos testen, dann","7 ημέρες δωρεάν δοκιμή, τότε","ניסיון חינם של 7 ימים, לאחר מכן","7 दिन का निःशुल्क परीक्षण, फिर","7 nap ingyenes próbaidőszak, majd","Uji coba gratis selama 7 hari, lalu","7 giorni di prova gratuita, poi",7日間の無料トライアル、その後,7일 무료 체험 후,Pēc tam 7 dienu bezmaksas izmēģinājuma periods,"7 dienų nemokamas bandomasis laikotarpis, tada","7 hari percubaan percuma, kemudian","7 dagers gratis prøveperiode, deretter","7 dni bezpłatnego okresu próbnego, a następnie","7 dias de teste grátis, depois","Perioadă de probă gratuită de 7 zile, apoi","Бесплатна пробна верзија од 7 дана, затим",7天免费试用，然后,"7-dňová bezplatná skúšobná doba, potom","7 dni brezplačnega preizkusa, nato","7 días de prueba gratuita, luego","7 dagars gratis provperiod, sedan","7 araw na libreng pagsubok, kung gayon",ทดลองใช้ฟรี 7 วัน จากนั้น,"7 günlük ücretsiz deneme süresi, ardından","7 днів безкоштовної пробної версії, потім","Dùng thử miễn phí 7 ngày, sau đó"
threeday_plan,,Андан кийин 3 күн акысыз сыноо,"3-day free trial, then","3 дня бесплатного пробного периода, затем",تجربة مجانية لمدة 3 أيام، ثم,"3-дневен безплатен пробен период, след това","Prova gratuïta de 3 dies, després","Trodnevno besplatno probno razdoblje, a zatim","3denní bezplatná zkušební verze, poté","3-dages gratis prøveperiode, derefter","3 dagen gratis proefperiode, daarna",3-päevane tasuta prooviperiood ja seejärel,"3 päivän ilmainen kokeilujakso, sitten","Essai gratuit de 3 jours, puis","3 Tage kostenlos testen, dann","Δωρεάν δοκιμή 3 ημερών, έπειτα","ניסיון חינם ל-3 ימים, לאחר מכן","3 दिन का निःशुल्क परीक्षण, फिर","3 napos ingyenes próbaidőszak, majd","Uji coba gratis 3 hari, lalu","Prova gratuita di 3 giorni, poi",3日間の無料トライアル、その後,3일 무료 체험 후,"3 dienu bezmaksas izmēģinājums, pēc tam","3 dienų nemokamas bandomasis laikotarpis, tada","3 hari percubaan percuma, kemudian","3-dagers gratis prøveperiode, deretter","3-dniowy bezpłatny okres próbny, a następnie","Teste grátis por 3 dias, depois","Perioadă de probă gratuită de 3 zile, apoi","Тродневни бесплатни пробни период, затим",3天免费试用，然后,3-dňová bezplatná skúšobná verzia a potom,"3-dnevni brezplačni preizkus, nato",Prueba gratuita de 3 días y luego,"3 dagars gratis provperiod, sedan","3-araw na libreng pagsubok, kung gayon",ทดลองใช้ฟรี 3 วัน จากนั้น,"3 günlük ücretsiz deneme, ardından","3-денний безкоштовний пробний період, потім","Dùng thử miễn phí 3 ngày, sau đó"
